timestamp,bos_7d,bos_28d,bos_91d,realized_vol_30d,gross_budget,daily_close
2025-08-10,1.0,1.0,1.0,0.6076587339810364,0.1645660539508032,4209.01
2025-08-11,1.0,1.0,1.0,0.5822143494476905,0.1717580476930251,4217.63
2025-08-12,1.0,1.0,1.0,0.5777223444037407,0.17309353008183997,4329.19
2025-08-13,1.0,1.0,1.0,0.5798473594173038,0.1724591797753314,4470.3
2025-08-14,1.0,1.0,1.0,0.5879653814485324,0.17007804057040987,4665.14
2025-08-15,1.0,1.0,1.0,0.5935782332269735,0.1684697894940528,4620.01
2025-08-16,1.0,1.0,1.0,0.5949744005966696,0.16807445816108235,4429.99
2025-08-17,1.0,1.0,1.0,0.5780313642038704,0.17300099301312347,4398.8
2025-08-18,1.0,1.0,1.0,0.5744198056721199,0.17408870483320385,4559.21
2025-08-19,1.0,1.0,1.0,0.6052830019600187,0.16521197468982515,4344.05
2025-08-20,1.0,1.0,1.0,0.5876354314765885,0.1701735372707594,4190.4
2025-08-21,1.0,1.0,1.0,0.5888588260392487,0.1698199900859341,4253.44
2025-08-22,1.0,1.0,1.0,0.580853940293352,0.17216031959686187,4241.91
2025-08-23,1.0,1.0,1.0,0.6352516480326639,0.15741793084629374,4615.35
2025-08-24,1.0,1.0,1.0,0.6371860854624891,0.15694002471415702,4749.22
2025-08-25,1.0,1.0,1.0,0.6253248462476506,0.1599168825612224,4797.1
2025-08-26,1.0,1.0,1.0,0.6436735881569733,0.15535824653972427,4610.2
2025-08-27,1.0,1.0,1.0,0.6481122652923498,0.15429425634290705,4516.29
2025-08-28,1.0,1.0,1.0,0.6527334739958564,0.15320188711608013,4654.8
2025-08-29,1.0,1.0,1.0,0.6640799756018361,0.15058427248822395,4502.43
2025-08-30,1.0,1.0,1.0,0.68459774847149,0.14607117862025001,4314.09
2025-08-31,1.0,1.0,1.0,0.6849101733974,0.14600454758025297,4374.23
2025-09-01,1.0,1.0,1.0,0.6631573147678508,0.15079378267132085,4482.61
2025-09-02,1.0,1.0,1.0,0.6499451848174861,0.15385912894805343,4359.71
2025-09-03,1.0,1.0,1.0,0.6547170377876288,0.15273773894431186,4293.21
2025-09-04,1.0,1.0,1.0,0.6501754482579827,0.15380463883699447,4477.06
2025-09-05,1.0,1.0,1.0,0.6627956069251906,0.15087607545245385,4302.57
2025-09-06,1.0,1.0,1.0,0.6601388101534775,0.15148329178942035,4281.0
2025-09-07,1.0,1.0,1.0,0.6445413987435544,0.15514907218517907,4268.0
2025-09-08,1.0,1.0,1.0,0.6376146846650627,0.15683453095583855,4297.23
2025-09-09,1.0,1.0,1.0,0.6036607371686357,0.1656559617725552,4370.0
2025-09-10,1.0,1.0,1.0,0.6079300511864065,0.16449260865595458,4284.51
2025-09-11,1.0,1.0,1.0,0.6086242781605841,0.16430498024532508,4403.66
2025-09-12,1.0,1.0,1.0,0.5983105124201689,0.16713729397048288,4410.85
2025-09-13,1.0,1.0,1.0,0.5881234846020595,0.17003231909309444,4541.0
2025-09-14,1.0,1.0,1.0,0.5937492266388412,0.1684212720007917,4655.33
