side,event_day,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,stop_fraction,notional,underlying_return,net_account_contribution,exit_reason,ambiguous_bar_loss_first
short,2021-07-30,2021-07-31 00:01:00,2021-07-31 05:46:00,2346.44,2454.86,2452.0,2135.32,0.04498729990965034,0.11114247821144378,-0.046206167641192675,-0.005246610458507019,stop,False
short,2021-08-02,2021-08-03 00:01:00,2021-08-03 12:58:00,2632.51,2486.98,2700.13,2497.2700000000004,0.025686512112014726,0.19465468796214172,0.0552818412845536,0.010566214877255283,target,False
short,2021-08-08,2021-08-09 00:01:00,2021-08-10 08:07:00,3030.01,3196.32,3194.31,2701.4100000000008,0.05422424348434484,0.092209677419355,-0.05488760763165801,-0.005153378271454668,stop,False
short,2021-08-10,2021-08-11 00:01:00,2021-08-11 15:05:00,3116.01,3237.47,3237.16,2873.710000000001,0.03887984955118874,0.1286013206768473,-0.03897933575309431,-0.005141395377631027,stop,False
short,2021-08-14,2021-08-15 00:01:00,2021-08-16 01:05:00,3265.51,3111.95,3336.0,3124.5300000000007,0.02158621471071893,0.231629309121862,0.047024813888183026,0.010660695843382114,target,False
short,2021-08-16,2021-08-17 00:01:00,2021-08-18 09:14:00,3218.01,2953.11,3342.74,2968.550000000001,0.0387599789932286,0.12899903792191178,0.08231795426365984,0.010489937865790144,target,False
short,2021-08-23,2021-08-24 00:01:00,2021-08-24 22:16:00,3325.56,3224.92,3378.16,3220.36,0.015816884975763452,0.3,0.03026257231864704,0.008778771695594111,target,False
long,2021-09-20,2021-09-21 00:01:00,2021-09-21 08:14:00,3085.18,2883.04,2907.65,3440.2399999999993,0.057542833805482904,0.08689179293640524,-0.06551967794423663,-0.005780014082126972,stop,False
long,2021-09-21,2021-09-22 00:01:00,2021-09-22 04:37:00,3034.12,2809.99,2804.7,3492.96,0.0756133574150001,0.06612588266062241,-0.07386985353249054,-0.0049508351495074565,stop,False
long,2021-09-22,2021-09-23 00:01:00,2021-09-30 00:01:00,3006.47,2863.37,2645.62,3728.1699999999996,0.12002448053697523,0.04165816821393932,-0.0475973483853156,-0.0020244765137868896,time,False
short,2021-10-07,2021-10-08 00:01:00,2021-10-08 05:17:00,3587.88,3648.83,3650.0,3463.6400000000003,0.017313845502079192,0.28878622021893163,-0.016987747639274353,-0.005194613650998051,stop,False
short,2021-10-08,2021-10-09 00:01:00,2021-10-10 09:26:00,3617.66,3494.21,3676.58,3499.8199999999997,0.01628677100667284,0.3,0.03412426817334957,0.00993728045200487,target,False
short,2021-10-15,2021-10-16 00:01:00,2021-10-16 00:59:00,3792.37,3862.86,3862.99,3651.13,0.018621600740434053,0.2685053809119234,-0.018587321384780475,-0.005259301189464744,stop,False
short,2021-10-30,2021-10-31 00:01:00,2021-11-02 18:23:00,4282.57,4453.13,4464.49,3918.7299999999996,0.04247916554779025,0.11770476033421279,-0.03982655274753255,-0.004805479606420415,stop,False
short,2021-11-09,2021-11-10 00:01:00,2021-11-10 08:49:00,4797.7,4701.06,4848.0,4697.099999999999,0.010484190341205199,0.3,0.02014298518039881,0.005742895554119643,target,False
long,2021-11-18,2021-11-19 00:01:00,2021-11-19 00:04:00,4061.13,4043.38,4044.39,4094.6100000000006,0.004122005451684688,0.3,-0.004370704705340622,-0.0016112114116021866,stop,False
long,2021-11-19,2021-11-20 00:01:00,2021-11-26 20:05:00,4216.87,3945.41,3958.2,4734.21,0.06134170605211924,0.08151061197664977,-0.0643747613751432,-0.005328736807515368,stop,False
long,2021-11-26,2021-11-27 00:01:00,2021-11-29 08:35:00,4059.0,4369.23,3908.0,4361.0,0.037201281103720125,0.1344039735099338,0.076430155210643,0.010138112582781456,target,False
long,2021-12-04,2021-12-05 00:01:00,2021-12-12 00:01:00,4027.03,4060.41,3380.92,5319.25,0.1604433043707149,0.031163656343347106,0.00828898716920401,0.00022715149123214023,time,False
