timestamp,side,sweep_low,sweep_high,prior_high,prior_low,bar_high,bar_low,bar_close,event_day,available_time
2024-09-25,short,False,True,2689.97,2149.34,2704.62,2591.44,2613.08,2024-09-24,2024-09-25
2024-09-29,short,False,True,2704.62,2239.22,2728.99,2650.0,2670.37,2024-09-28,2024-09-29
2024-10-22,short,False,True,2721.9,2308.8,2771.19,2659.19,2679.75,2024-10-21,2024-10-22
2024-11-06,long,True,False,2771.19,2380.9,2480.93,2356.44,2441.16,2024-11-05,2024-11-06
2024-11-12,short,False,True,3240.64,2356.44,3265.58,3070.87,3239.53,2024-11-11,2024-11-12
2024-11-13,short,False,True,3265.58,2356.44,3450.0,3211.0,3262.29,2024-11-12,2024-11-13
2024-11-27,short,False,True,3539.57,2400.01,3548.8,3281.6,3297.08,2024-11-26,2024-11-27
2024-11-29,short,False,True,3574.62,2823.59,3686.75,3535.01,3543.25,2024-11-28,2024-11-29
2024-12-01,short,False,True,3686.75,2992.0,3727.6,3560.02,3674.69,2024-11-30,2024-12-01
2024-12-03,short,False,True,3747.99,3014.94,3764.06,3570.72,3672.59,2024-12-02,2024-12-03
2024-12-08,short,False,True,4042.0,3030.0,4090.0,3966.58,4004.99,2024-12-07,2024-12-08
2024-12-18,short,False,True,4090.0,3253.0,4109.56,3914.7,3938.4,2024-12-17,2024-12-18
2025-01-11,long,True,False,3746.33,3208.6,3328.09,3156.74,3245.21,2025-01-10,2025-01-11
2025-02-28,long,True,False,2858.82,2312.19,2434.32,2253.62,2323.31,2025-02-27,2025-02-28
2025-03-05,long,True,False,2858.82,2072.92,2297.79,2002.73,2074.99,2025-03-04,2025-03-05
2025-03-06,long,True,False,2858.82,2002.73,2273.53,1985.43,2186.79,2025-03-05,2025-03-06
2025-04-04,long,True,False,2104.99,1766.6,1957.3,1748.0,1782.48,2025-04-03,2025-04-04
2025-04-07,long,True,False,2104.99,1748.0,1817.9,1735.86,1759.73,2025-04-06,2025-04-07
2025-04-10,long,True,False,2104.99,1411.0,1533.0,1384.06,1485.4,2025-04-09,2025-04-10
2025-04-27,short,False,True,1837.0,1384.06,1841.36,1778.09,1799.58,2025-04-26,2025-04-27
2025-04-28,short,False,True,1841.36,1384.06,1856.88,1780.0,1793.1,2025-04-27,2025-04-28
2025-05-02,short,False,True,1856.88,1471.72,1873.55,1755.23,1852.17,2025-05-01,2025-05-02
2025-05-12,short,False,True,2491.84,1533.51,2610.0,2427.4,2461.11,2025-05-11,2025-05-12
2025-05-13,short,False,True,2610.0,1533.51,2622.0,2438.63,2486.53,2025-05-12,2025-05-13
2025-05-15,short,False,True,2622.0,1722.01,2738.56,2557.4,2595.95,2025-05-14,2025-05-15
