definition,side,signal_available_time,exit_time,gross_return_24h,net_return_24h
adjacent_fast,long,2025-10-05 16:00:00,2025-10-06 16:00:00,-0.015720463317108857,-0.016720463317108858
adjacent_fast,long,2025-10-07 00:00:00,2025-10-08 00:00:00,-0.03439417358503505,-0.03539417358503505
adjacent_fast,long,2025-10-07 04:00:00,2025-10-08 04:00:00,-0.05160296871160974,-0.05260296871160974
adjacent_fast,long,2025-10-26 20:00:00,2025-10-27 20:00:00,0.029014539420154417,0.028014539420154416
adjacent_fast,long,2025-10-27 08:00:00,2025-10-28 08:00:00,-0.009414424707452795,-0.010414424707452796
adjacent_fast,long,2025-10-27 12:00:00,2025-10-28 12:00:00,-0.026275215212642866,-0.027275215212642867
adjacent_fast,long,2025-11-27 04:00:00,2025-11-28 04:00:00,-4.9493353042717736e-05,-0.0010494933530427178
adjacent_fast,long,2025-12-04 08:00:00,2025-12-05 08:00:00,-0.01705920195823074,-0.01805920195823074
adjacent_fast,long,2025-12-10 00:00:00,2025-12-11 00:00:00,0.025204619973867803,0.024204619973867803
adjacent_fast,long,2025-12-29 12:00:00,2025-12-30 12:00:00,-0.030311895002908873,-0.031311895002908874
adjacent_fast,long,2026-01-14 04:00:00,2026-01-15 04:00:00,0.047259355585352214,0.04625935558535221
adjacent_fast,long,2026-01-28 20:00:00,2026-01-29 20:00:00,-0.036195654678248146,-0.03719565467824815
adjacent_fast,long,2026-02-14 20:00:00,2026-02-15 20:00:00,-0.01758658653410805,-0.01858658653410805
adjacent_fast,long,2026-02-26 00:00:00,2026-02-27 00:00:00,0.009811080808532324,0.008811080808532323
adjacent_fast,long,2026-03-05 00:00:00,2026-03-06 00:00:00,-0.029553648268322852,-0.030553648268322853
adjacent_fast,long,2026-03-16 12:00:00,2026-03-17 12:00:00,0.03780051814630703,0.036800518146307026
adjacent_fast,long,2026-03-17 04:00:00,2026-03-18 04:00:00,-0.004669828529733744,-0.005669828529733744
adjacent_fast,long,2026-04-08 08:00:00,2026-04-09 08:00:00,-0.02237802835770908,-0.02337802835770908
adjacent_fast,long,2026-04-12 04:00:00,2026-04-13 04:00:00,-0.05096685858424432,-0.051966858584244324
adjacent_fast,long,2026-04-14 08:00:00,2026-04-15 08:00:00,-0.019858293782829772,-0.020858293782829773
adjacent_fast,long,2026-04-27 12:00:00,2026-04-28 12:00:00,-0.04342049741599385,-0.044420497415993854
adjacent_fast,long,2026-05-04 12:00:00,2026-05-05 12:00:00,-0.0012960267761649158,-0.002296026776164916
adjacent_fast,long,2026-05-06 20:00:00,2026-05-07 20:00:00,-0.03336003021035194,-0.034360030210351944
adjacent_fast,long,2026-06-15 08:00:00,2026-06-16 08:00:00,0.04082685840194822,0.03982685840194822
adjacent_fast,long,2026-06-15 20:00:00,2026-06-16 20:00:00,0.0199871855207725,0.018987185520772498
adjacent_fast,long,2026-06-16 00:00:00,2026-06-17 00:00:00,-0.03421319411691359,-0.03521319411691359
adjacent_fast,long,2026-06-22 20:00:00,2026-06-23 20:00:00,-0.06037415447315542,-0.06137415447315542
adjacent_fast,long,2026-06-30 04:00:00,2026-07-01 04:00:00,-0.02754219032730587,-0.028542190327305872
adjacent_fast,long,2026-07-02 20:00:00,2026-07-03 20:00:00,0.05594189366978086,0.05494189366978086
adjacent_fast,long,2026-07-05 00:00:00,2026-07-06 00:00:00,-0.009259621237929783,-0.010259621237929784
adjacent_fast,short,2022-01-21 08:00:00,2022-01-22 08:00:00,0.14413369849869062,0.14313369849869062
adjacent_fast,short,2022-01-21 12:00:00,2022-01-22 12:00:00,0.09561758602588089,0.09461758602588088
adjacent_fast,short,2022-02-14 04:00:00,2022-02-15 04:00:00,-0.007847145172185765,-0.008847145172185766
