test_month,feature,coefficient
2024-10-01,return_3d,0.00044613477406449235
2024-10-01,return_7d,0.0005076628767006091
2024-10-01,return_14d,0.0025915081731613023
2024-10-01,return_30d,6.744351004309624e-05
2024-10-01,return_90d,-0.00015801703802331257
2024-10-01,close_location,-0.0005180654646921482
2024-10-01,body_fraction,-0.00029627680088216993
2024-10-01,range_over_20d,0.002151693387359253
2024-10-01,realized_vol_30d,-0.0011089040021674047
2024-10-01,distance_high_20d,-0.0032795238741013324
2024-10-01,distance_low_20d,-0.0012489846762280801
2024-11-01,return_1d,0.0011818825951112337
2024-11-01,return_3d,0.0004580862931849281
2024-11-01,return_7d,0.0007476931568394339
2024-11-01,return_14d,0.0021706614192638952
2024-11-01,return_30d,0.0001261536479910239
2024-11-01,return_90d,0.00022032956609896413
2024-11-01,close_location,-0.0012544001282662294
2024-11-01,body_fraction,-0.00017485910557459594
2024-11-01,range_over_20d,0.001971504025114075
2024-11-01,realized_vol_30d,-0.0009187111874891585
2024-11-01,distance_high_20d,-0.0034420137177978965
2024-11-01,distance_low_20d,-0.0013353114386461247
2024-12-01,return_1d,0.0019568383086832446
2024-12-01,return_3d,0.001399617596714668
2024-12-01,return_7d,-0.0005458353509815835
2024-12-01,return_14d,0.0016126622032366547
2024-12-01,return_30d,0.0013581697993371375
2024-12-01,return_90d,-0.0002453559400373159
2024-12-01,close_location,-0.0021073161633075868
2024-12-01,body_fraction,-0.00017023387384399653
2024-12-01,range_over_20d,0.0015580334201923947
2024-12-01,realized_vol_30d,-0.0001543956281705693
2024-12-01,distance_high_20d,-0.0029810620668713817
2024-12-01,distance_low_20d,-0.0008188027427428965
2025-01-01,return_1d,0.0019223325537628926
2025-01-01,return_3d,0.001203140470519653
2025-01-01,return_7d,-9.229357605143474e-05
2025-01-01,return_14d,0.002045705874642893
2025-01-01,return_30d,0.0014782325593879272
2025-01-01,return_90d,-0.0005908656546222041
2025-01-01,close_location,-0.0015152694191674216
2025-01-01,body_fraction,-0.000258501383700977
2025-01-01,range_over_20d,0.0017452142742713538
2025-01-01,realized_vol_30d,-0.0004185413862750045
2025-01-01,distance_high_20d,-0.0034917419881323295
2025-01-01,distance_low_20d,-0.0010471639871528745
2025-02-01,return_1d,0.0019633066380438753
2025-02-01,return_3d,0.0013834583789906847
2025-02-01,return_7d,-0.0005397728778484625
2025-02-01,return_14d,0.0015110837292244582
2025-02-01,return_30d,0.0021041954554798536
2025-02-01,return_90d,-0.0006932928360460751
2025-02-01,close_location,-0.0017869757688791764
2025-02-01,body_fraction,-0.0005481467145431488
2025-02-01,range_over_20d,0.002025660003874417
2025-02-01,realized_vol_30d,-0.0005065249710013206
2025-02-01,distance_high_20d,-0.003909788528703055
2025-02-01,distance_low_20d,-0.0005463734870143718
2025-03-01,return_1d,0.00231655606036219
2025-03-01,return_3d,0.0011292925572892235
2025-03-01,return_7d,0.00042906517088712716
2025-03-01,return_14d,0.0015664140527818715
2025-03-01,return_30d,0.0032155106241502163
2025-03-01,return_90d,-0.0007416417828564725
2025-03-01,close_location,-0.0014573066377904851
2025-03-01,body_fraction,-0.0007171392116159755
2025-03-01,range_over_20d,0.0025290865150776345
2025-03-01,realized_vol_30d,-0.0008460861453952022
2025-03-01,distance_high_20d,-0.004965747302709818
2025-03-01,distance_low_20d,-0.0013585682800721
2025-04-01,return_1d,0.0012422993341269907
2025-04-01,return_3d,0.002198398703179966
2025-04-01,return_7d,-0.0005215299567827127
2025-04-01,return_14d,0.0020263115782618224
2025-04-01,return_30d,0.0031705126664083884
2025-04-01,return_90d,-0.00011551907131657267
2025-04-01,close_location,-0.0011677392366106455
2025-04-01,body_fraction,-0.0005168319084590939
2025-04-01,range_over_20d,0.002134051477396672
2025-04-01,realized_vol_30d,-0.0014893759118801767
2025-04-01,distance_high_20d,-0.005021461753305696
2025-04-01,distance_low_20d,-0.0013431853339129407
2025-05-01,return_1d,0.001848750219564363
2025-05-01,return_3d,0.0018427498607074245
2025-05-01,return_7d,-0.00038132228378612635
2025-05-01,return_14d,0.0032857936434089545
2025-05-01,return_30d,0.00317859552082954
2025-05-01,return_90d,-0.0004912730980417677
2025-05-01,close_location,-0.001459769620581823
2025-05-01,body_fraction,-0.00035450031195969673
2025-05-01,range_over_20d,0.0024194775124534306
2025-05-01,realized_vol_30d,-0.0021072509080012993
2025-05-01,distance_high_20d,-0.0065703908031637245
2025-05-01,distance_low_20d,-0.0010517686895224372
2025-06-01,return_1d,0.0026032767992084367
2025-06-01,return_3d,0.0017910364969379935
2025-06-01,return_7d,-0.0006278220034702536
2025-06-01,return_14d,0.0024714335737088043
2025-06-01,return_30d,0.0037287896730310963
2025-06-01,return_90d,-0.0011703250305207698
2025-06-01,close_location,-0.001979225057437989
2025-06-01,body_fraction,0.000134483684546763
2025-06-01,range_over_20d,0.002842224109371372
2025-06-01,realized_vol_30d,-0.0018455697029789303
2025-06-01,distance_high_20d,-0.005257521300337327
2025-06-01,distance_low_20d,-0.0008619781732923561
2025-07-01,return_1d,0.0031624245256882486
2025-07-01,return_3d,0.0008994079568813402
2025-07-01,return_7d,-0.0005974342014684995
2025-07-01,return_14d,0.002849363942719058
2025-07-01,return_30d,0.0036561656813309472
2025-07-01,return_90d,-0.0010878241305937173
2025-07-01,close_location,-0.0015322380943899776
2025-07-01,body_fraction,-0.0002384108866971164
2025-07-01,range_over_20d,0.002649575283565769
2025-07-01,realized_vol_30d,-0.0020161868286406987
2025-07-01,distance_high_20d,-0.005612334091679634
2025-07-01,distance_low_20d,-0.0008417501557399211
2025-08-01,return_1d,0.0033016364106043827
2025-08-01,return_3d,0.0008201846709410716
2025-08-01,return_7d,-0.00019705460151560862
2025-08-01,return_14d,0.0031749300430015414
2025-08-01,return_30d,0.002338090429044356
2025-08-01,return_90d,0.0001736732245094442
2025-08-01,close_location,-0.001732705937256122
2025-08-01,body_fraction,-8.082449991341722e-05
2025-08-01,range_over_20d,0.002570294204827507
2025-08-01,realized_vol_30d,-0.0012025145681652965
2025-08-01,distance_high_20d,-0.004782492458610076
2025-08-01,distance_low_20d,-0.0008082632312648122
2025-09-01,return_1d,0.004162461097279373
2025-09-01,return_3d,0.0010747573125339219
2025-09-01,return_7d,-0.0006017003966661897
2025-09-01,return_14d,0.0032290456896775445
2025-09-01,return_30d,0.0028326496907185596
2025-09-01,return_90d,0.00010177676057806123
2025-09-01,close_location,-0.002369384320911124
2025-09-01,body_fraction,-0.00039391261132963015
2025-09-01,range_over_20d,0.002854774377711218
2025-09-01,realized_vol_30d,-0.0014751129496950535
2025-09-01,distance_high_20d,-0.004794400489869125
2025-09-01,distance_low_20d,-0.0015057378183159326
2025-10-01,return_1d,0.003923176639710321
2025-10-01,return_3d,0.0012306501655025826
2025-10-01,return_7d,-0.00046171259021281886
2025-10-01,return_14d,0.002998054904864013
2025-10-01,return_30d,0.003014499517506989
2025-10-01,return_90d,-0.00015322020581119946
2025-10-01,close_location,-0.002235791079047964
2025-10-01,body_fraction,-0.0005417886140176854
2025-10-01,range_over_20d,0.0027884003617429944
2025-10-01,realized_vol_30d,-0.0014233897736012269
2025-10-01,distance_high_20d,-0.004978777508883804
2025-10-01,distance_low_20d,-0.0013138576653585693
2025-11-01,return_1d,0.00422965193505945
2025-11-01,return_3d,0.0011742041507325474
2025-11-01,return_7d,0.00023389997223437583
2025-11-01,return_14d,0.0028753383130571053
2025-11-01,return_30d,0.003693339842329105
2025-11-01,return_90d,-0.0005210350898024388
2025-11-01,close_location,-0.0020852628307007903
2025-11-01,body_fraction,-0.0008186167386904667
2025-11-01,range_over_20d,0.0031729821480840463
2025-11-01,realized_vol_30d,-0.001645105913243016
2025-11-01,distance_high_20d,-0.00570477630107194
2025-11-01,distance_low_20d,-0.0018667205137043528
2025-12-01,return_1d,0.004148434055692056
2025-12-01,return_3d,0.0012276114988232368
2025-12-01,return_7d,0.00027075331026893136
2025-12-01,return_14d,0.0026655814179031207
2025-12-01,return_30d,0.003913388591065315
2025-12-01,return_90d,-0.00027361311398492965
