sleeve,side,entry_time,exit_time,bars,days,gross_contribution,max_notional
swing_long,LONG,2024-03-18 06:45:00,2024-03-18 22:45:00,64,0.6666666666666666,-0.0016063507094014823,0.03424994511744866
swing_long,LONG,2024-04-18 19:15:00,2024-04-19 09:45:00,58,0.6041666666666666,-0.0015238116165768438,0.05280329687300227
swing_long,LONG,2024-04-27 19:30:00,2024-04-28 02:00:00,26,0.2708333333333333,0.0029125422683658,0.07044449211627157
swing_long,LONG,2024-05-15 11:15:00,2024-05-15 21:45:00,42,0.4375,0.0026439925462650414,0.10497934554540084
swing_long,LONG,2024-07-31 10:30:00,2024-08-01 04:30:00,72,0.75,-0.0012909997032948938,0.0644333091647735
swing_long,LONG,2024-08-04 19:30:00,2024-08-04 22:45:00,13,0.13541666666666666,-0.0015781445232273463,0.08786937487098295
swing_long,LONG,2024-08-12 18:30:00,2024-08-15 18:30:00,288,3.0,8.354629537214286e-05,0.034553965858890714
swing_long,LONG,2024-08-21 14:15:00,2024-08-21 21:45:00,30,0.3125,-0.0015319073575763848,0.08128176756086233
swing_long,LONG,2024-08-22 01:30:00,2024-08-25 00:15:00,283,2.9479166666666665,0.00221227547908598,0.04154959912852383
swing_long,LONG,2024-09-11 21:00:00,2024-09-11 22:00:00,4,0.041666666666666664,-0.0021448482699270525,0.10723145268186522
swing_long,LONG,2024-09-12 01:15:00,2024-09-15 01:15:00,288,3.0,0.0009615643059231185,0.04079257209092482
swing_long,LONG,2024-10-11 00:00:00,2024-10-11 02:00:00,8,0.08333333333333333,-0.0011950004405561427,0.08954432466933876
swing_long,LONG,2025-01-11 00:15:00,2025-01-13 09:45:00,230,2.3958333333333335,0.0005661496542452198,0.05372939364509152
swing_long,LONG,2025-01-19 07:30:00,2025-01-19 16:30:00,36,0.375,-0.001547105603744512,0.08369952974535715
swing_long,LONG,2025-01-23 21:45:00,2025-01-24 07:30:00,39,0.40625,0.0030987535091962686,0.09300211874575748
swing_long,LONG,2025-02-05 14:00:00,2025-02-08 04:45:00,251,2.6145833333333335,-0.0015012295295677564,0.024196266090691275
swing_long,LONG,2025-02-17 16:15:00,2025-02-17 23:00:00,27,0.28125,0.0029628478883457535,0.06296010706588119
swing_long,LONG,2025-03-05 05:30:00,2025-03-08 05:30:00,288,3.0,-0.0003458156948005944,0.013697034524869247
swing_long,LONG,2025-03-31 09:30:00,2025-04-01 23:30:00,152,1.5833333333333333,0.0026137029589847526,0.05091846744583636
swing_long,LONG,2025-04-22 15:30:00,2025-04-22 23:15:00,31,0.3229166666666667,0.003063723753670029,0.039494713673051615
swing_long,LONG,2025-06-23 15:00:00,2025-06-26 15:00:00,288,3.0,0.004648127910381192,0.04548784638559286
swing_long,LONG,2025-08-03 18:15:00,2025-08-05 05:30:00,141,1.46875,0.005368371877573984,0.08056030834516253
swing_long,LONG,2025-09-24 19:15:00,2025-09-25 10:30:00,61,0.6354166666666666,-0.002587312944430077,0.09743213503694118
swing_long,LONG,2025-11-08 00:30:00,2025-11-10 07:15:00,219,2.28125,0.002758908322977585,0.035617121084847096
swing_long,LONG,2025-11-17 10:15:00,2025-11-18 03:45:00,70,0.7291666666666666,-0.0015739579383210317,0.03009620498253281
