variant,expiry_minutes,target_r,year,n_placed,n_filled,fill_rate,win_rate_15bp,avg_gross_r,median_gross_r,avg_net_r_11bp,avg_net_r_15bp,avg_net_r_20bp,profit_factor_15bp,t_stat_15bp
V2_clearer_macro,180,2.0,2024,1289,1216,0.943366951124903,0.3527960526315789,0.03024263461935089,-0.9999999999999865,-0.3170481103904147,-0.44333565403032943,-0.6011950835802228,0.5206884057402591,-10.951779991429662
V2_clearer_macro,180,2.0,2025,1331,1271,0.9549211119459053,0.34382376081825333,-0.013355416320906529,-0.9999999999999891,-0.31567827300909374,-0.42561385725934353,-0.5630333375721559,0.5316461524728825,-10.965091633593117
V2_clearer_macro,180,2.0,2026,843,803,0.9525504151838672,0.3437110834371108,0.02135568977613295,-0.9999999999999851,-0.3471340391388915,-0.48113030419890046,-0.6486256355239116,0.49093640395132726,-9.601050788145713
V2_clearer_macro,180,2.0,ALL,4974,4743,0.9535585042219542,0.3354417035631457,-0.013631213808169002,-0.9999999999999858,-0.4328140582201992,-0.5852441834609375,-0.7757818400118605,0.4275638384657059,-25.069520831707052
V3_clearer_micro,30,1.0,2023,1343,1183,0.8808637379002234,0.3693998309382925,0.023993705405855513,0.2834274952919236,-0.5899096146667523,-0.8131471856022461,-1.0921941492716132,0.18109378212533353,-15.370533701761076
V3_clearer_micro,30,1.0,2024,938,826,0.8805970149253731,0.45883777239709445,-0.01699504351878654,-0.1794561984860655,-0.35895402005388466,-0.4833027387939203,-0.638738637218965,0.35934135420982444,-13.119776037846911
V3_clearer_micro,30,1.0,2025,1086,965,0.8885819521178637,0.47979274611398964,0.005911392719550613,0.15556612749761822,-0.287386091719624,-0.3940397224247784,-0.5273567608062214,0.43040319941019917,-11.915781176639426
V3_clearer_micro,30,1.0,2026,743,651,0.8761776581426649,0.43317972350230416,-0.03365387801858884,-0.3752316244595373,-0.38863170509893313,-0.5177145513099674,-0.6790681090737601,0.3279955497556521,-12.501809768521456
V3_clearer_micro,30,1.0,ALL,4110,3625,0.8819951338199513,0.4306206896551724,-0.0005124229150691343,0.02519244226730813,-0.4206030105501019,-0.5733632242355683,-0.7643134913424013,0.29945889628958555,-25.409738691782753
V3_clearer_micro,30,1.5,2023,1343,1183,0.8808637379002234,0.36348267117497884,0.00995435401206216,-0.9999999999999654,-0.6039489660605456,-0.8271865369960393,-1.1062335006654067,0.2543075634891899,-14.695902749002498
V3_clearer_micro,30,1.5,2024,938,826,0.8805970149253731,0.400726392251816,-0.003448532540054065,-0.9999999999999815,-0.34540750907515216,-0.4697562278151879,-0.6251921262402325,0.45484709519848654,-10.81527245176249
V3_clearer_micro,30,1.5,2025,1086,965,0.8885819521178637,0.41347150259067356,0.026188492005546987,-0.999999999999983,-0.2671089924336276,-0.373762623138782,-0.507079661520225,0.5310093969418933,-9.503401845190295
V3_clearer_micro,30,1.5,2026,743,651,0.8761776581426649,0.3655913978494624,-0.061747704616537336,-0.999999999999981,-0.4167255316968816,-0.5458083779079159,-0.7071619356717087,0.39373595437061676,-11.282329972476191
V3_clearer_micro,30,1.5,ALL,4110,3625,0.8819951338199513,0.3856551724137931,-0.0016547166901594715,-0.9999999999999758,-0.42174530432519225,-0.5745055180106586,-0.7654557851174917,0.3837033226681217,-22.89897305240808
